"X","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price","Car_Age","Brand","Kilometers_Per_Year","Is_First_Owner","Fuel_Type_Diesel","Fuel_Type_Electric","Fuel_Type_Petrol","Transmission_Automatic","Transmission_Manual","Brand_Ambassador","Brand_Audi","Brand_Bentley","Brand_BMW","Brand_Chevrolet","Brand_Datsun","Brand_Fiat","Brand_Force","Brand_Ford","Brand_Honda","Brand_Hyundai","Brand_Isuzu","Brand_ISUZU","Brand_Jaguar","Brand_Jeep","Brand_Lamborghini","Brand_Land","Brand_Mahindra","Brand_Maruti","Brand_Mercedes-Benz","Brand_Mini","Brand_Mitsubishi","Brand_Nissan","Brand_Porsche","Brand_Renault","Brand_Skoda","Brand_Tata","Brand_Toyota","Brand_Volkswagen","Brand_Volvo","Location_Ahmedabad","Location_Bangalore","Location_Chennai","Location_Coimbatore","Location_Delhi","Location_Hyderabad","Location_Jaipur","Location_Kochi","Location_Kolkata","Location_Mumbai","Location_Pune"
12,"Maruti Swift VDI BSIV","Jaipur",2015,64424,"Diesel","Manual","First",25.2,1248,74,5,11.665,5.6,10,"Maruti",5857,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,"Land Rover Range Rover 2.2L Pure","Delhi",2014,72000,"Diesel","Automatic","First",12.7,2179,187.7,5,27,27,11,"Land",6000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,"Land Rover Freelander 2 TD4 SE","Pune",2012,85000,"Diesel","Automatic","Second",0,2179,115,5,17.5,17.5,13,"Land",6071,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,"Mitsubishi Pajero Sport 4X4","Delhi",2014,110000,"Diesel","Manual","First",13.5,2477,175.56,7,32.01,15,11,"Mitsubishi",9167,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,"Honda Amaze S i-Dtech","Kochi",2016,58950,"Diesel","Manual","First",25.8,1498,98.6,5,11.665,5.4,9,"Honda",5895,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,"Maruti Swift DDiS VDI","Jaipur",2017,25000,"Diesel","Manual","First",28.4,1248,74,5,11.665,5.99,8,"Maruti",2778,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,"Renault Duster 85PS Diesel RxL Plus","Kochi",2014,77469,"Diesel","Manual","First",20.45,1461,83.8,5,11.665,6.34,11,"Renault",6456,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,"Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2014,78500,"Diesel","Automatic","First",14.84,2143,167.62,5,28,28,11,"Mercedes-Benz",6542,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,"BMW 3 Series 320d","Kochi",2014,32982,"Diesel","Automatic","First",22.69,1995,190,5,47.87,18.55,11,"BMW",2748,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,"Maruti S Cross DDiS 200 Alpha","Bangalore",2015,55392,"Diesel","Manual","Second",23.65,1248,88.5,5,11.665,8.25,10,"Maruti",5036,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,"Audi A6 2011-2015 35 TFSI Technology","Mumbai",2015,55985,"Petrol","Automatic","First",13.53,1984,177.01,5,23.5,23.5,10,"Audi",5090,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,"Hyundai i20 1.2 Magna","Kolkata",2010,45807,"Petrol","Manual","First",18.5,1197,80,5,11.665,1.87,15,"Hyundai",2863,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,"Volkswagen Vento Petrol Highline AT","Kolkata",2010,33000,"Petrol","Automatic","First",14.4,1598,103.6,5,11.665,2.85,15,"Volkswagen",2062,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25,"Honda City Corporate Edition","Mumbai",2012,51920,"Petrol","Manual","First",16.8,1497,116.3,5,11.665,4.25,13,"Honda",3709,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,"Nissan Micra Diesel XV","Hyderabad",2012,54000,"Diesel","Manual","First",26.368,1461,63.1,5,11.665,4.25,13,"Nissan",3857,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,"Maruti Alto K10 2010-2014 VXI","Hyderabad",2013,54000,"Petrol","Manual","Second",20.92,998,67.1,5,11.665,2.75,12,"Maruti",4154,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,"Honda WRV i-VTEC VX","Kochi",2018,37430,"Petrol","Manual","First",17.5,1199,88.7,5,10.57,9.9,7,"Honda",4679,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,"Toyota Innova 2.5 V Diesel 7-seater","Mumbai",2007,262000,"Diesel","Manual","Fourth & Above",12.8,2494,102,7,11.665,4,18,"Toyota",13789,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,"Renault Duster 110PS Diesel RxZ Pack","Bangalore",2013,62000,"Diesel","Manual","First",19.01,1461,108.45,5,11.665,7.75,12,"Renault",4769,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,"Toyota Corolla Altis G","Delhi",2012,87615,"Petrol","Manual","First",14.53,1798,138.1,5,11.665,6.75,13,"Toyota",6258,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32,"Mahindra Ssangyong Rexton RX7","Bangalore",2013,72000,"Diesel","Automatic","Second",11.18,2696,184,7,12.5,12.5,12,"Mahindra",5538,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,"Audi A6 2.7 TDI","Kolkata",2010,35000,"Diesel","Automatic","First",12.4,2698,179.5,5,11.665,11.5,15,"Audi",2188,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,"Volkswagen Vento 1.6 Highline","Coimbatore",2014,55431,"Petrol","Manual","Second",16.09,1598,103.5,5,12.33,6.98,11,"Volkswagen",4619,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35,"Maruti Wagon R LXI BSIII","Jaipur",2009,83816,"Petrol","Manual","Second",14,1061,64,5,11.665,1.85,16,"Maruti",4930,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,"Maruti Vitara Brezza ZDi Plus","Kochi",2018,50075,"Diesel","Manual","First",24.3,1248,88.5,5,11.12,8.63,7,"Maruti",6259,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,"Mahindra KUV 100 mFALCON G80 K6 5str AW","Delhi",2017,52000,"Petrol","Manual","First",18.15,1198,82,5,11.665,4.85,8,"Mahindra",5778,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,"Mercedes-Benz M-Class ML 350 CDI","Pune",2013,85000,"Diesel","Automatic","First",11.74,2987,254.8,5,28,28,12,"Mercedes-Benz",6538,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,"Volkswagen Polo Diesel Trendline 1.2L","Chennai",2013,62000,"Diesel","Manual","First",22.07,1199,73.9,5,11.665,5,12,"Volkswagen",4769,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
40,"Maruti Alto LXi","Delhi",2008,90000,"Petrol","Manual","Second",19.7,796,46.3,5,11.665,1.25,17,"Maruti",5000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,"Tata Nano LX SE","Kochi",2014,19698,"Petrol","Manual","First",25.4,624,37.5,4,11.665,1.53,11,"Tata",1642,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,"Mahindra KUV 100 mFALCON D75 K8 Dual Tone","Coimbatore",2017,22033,"Diesel","Manual","First",25.32,1198,77,6,11.665,5.58,8,"Mahindra",2448,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,"Hyundai i20 Magna Optional 1.2","Kochi",2014,35487,"Petrol","Manual","First",18.5,1197,82.9,5,11.665,4.74,11,"Hyundai",2957,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,"Hyundai Elantra 2.0 SX Option AT","Bangalore",2014,46374,"Petrol","Automatic","First",14.62,1999,149.92,5,23.64,8.85,11,"Hyundai",3864,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,"Toyota Corolla Altis G AT","Mumbai",2016,52001,"Petrol","Automatic","First",14.28,1798,138.03,5,11.665,10.11,9,"Toyota",5200,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,"Hyundai Elantra CRDi","Ahmedabad",2008,58005,"Diesel","Manual","Second",14.9,1991,112.2,5,11.665,4.25,17,"Hyundai",3222,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,"Toyota Innova Crysta 2.7 GX MT","Bangalore",2012,70704,"Petrol","Manual","First",11.25,2694,163.7,7,18.64,10.95,13,"Toyota",5050,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
48,"Hyundai Xcent 1.1 CRDi S","Jaipur",2014,75000,"Diesel","Manual","First",24.4,1120,71,5,11.665,3.85,11,"Hyundai",6250,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,"Mahindra Thar CRDe AC","Jaipur",2012,75800,"Diesel","Manual","Second",16.55,2498,105,6,11.665,5.5,13,"Mahindra",5414,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,"Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi",2015,13648,"Diesel","Automatic","First",17.11,1968,174.33,5,21.43,21.43,10,"Audi",1241,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,"Maruti Swift LDI","Delhi",2014,52000,"Diesel","Manual","First",22.9,1248,74,5,7.13,4.25,11,"Maruti",4333,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,"Maruti Swift Ldi BSIV","Kolkata",2014,53000,"Diesel","Manual","First",17.8,1248,75,5,11.665,3.3,11,"Maruti",4417,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,"Maruti Swift VDI","Delhi",2013,65650,"Diesel","Manual","First",28.4,1248,74,5,7.92,3.85,12,"Maruti",5050,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,"Hyundai Grand i10 Sportz","Chennai",2015,54000,"Petrol","Manual","Third",18.9,1197,82,5,11.665,3.6,10,"Hyundai",4909,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,"Volkswagen Vento 2013-2015 1.6 Comfortline","Kolkata",2015,39000,"Petrol","Manual","First",15.04,1598,103.2,5,11.665,3.99,10,"Volkswagen",3545,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56,"Renault KWID RXT","Kochi",2017,16542,"Petrol","Manual","First",25.17,799,53.3,5,11.665,3.3,8,"Renault",1838,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,"Hyundai i10 Asta","Kolkata",2010,32000,"Petrol","Manual","First",20.36,1197,78.9,5,11.665,2.07,15,"Hyundai",2000,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,"Nissan X-Trail SLX AT","Hyderabad",2010,121812,"Diesel","Automatic","First",15.184,1995,147.6,5,11.665,7.75,15,"Nissan",7613,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,"Maruti Zen Estilo VXI BSIII","Hyderabad",2010,39300,"Petrol","Manual","First",18.2,998,67.1,5,11.665,2.25,15,"Maruti",2456,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,"Toyota Innova Crysta 2.4 GX MT 8S","Mumbai",2017,22000,"Diesel","Manual","First",13.68,2393,147.8,8,19.34,16.5,8,"Toyota",2444,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
61,"Ford Figo Diesel Titanium","Bangalore",2010,72000,"Diesel","Manual","First",20,1399,68,5,11.665,2.75,15,"Ford",4500,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,"Mercedes-Benz New C-Class C 200 CGI Avantgarde","Delhi",2015,58000,"Petrol","Automatic","First",11.74,1796,186,5,26.7,26.7,10,"Mercedes-Benz",5273,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,"Mercedes-Benz New C-Class 200 CDI Classic","Pune",2011,65000,"Diesel","Manual","Second",15.8,2148,170,5,11.665,10,14,"Mercedes-Benz",4333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,"Tata Indica V2 eLS","Chennai",2016,178000,"Diesel","Manual","First",25,1396,69,5,11.665,2.5,9,"Tata",17800,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,"Audi A4 2.0 TDI Multitronic","Jaipur",2012,65664,"Diesel","Automatic","First",16.55,1968,140,5,13.5,13.5,13,"Audi",4690,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,"Honda City ZX CVT","Mumbai",2007,63000,"Petrol","Automatic","Second",16.4,1497,78,5,11.665,1.85,18,"Honda",3316,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,"Mercedes-Benz C-Class Progressive C 220d","Coimbatore",2019,15369,"Diesel","Automatic","First",0,1950,194,5,49.14,35.67,6,"Mercedes-Benz",2196,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,"Maruti Ertiga SHVS VDI","Pune",2016,63000,"Diesel","Manual","First",24.52,1248,88.5,7,11.665,8.15,9,"Maruti",6300,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,"Hyundai Creta 1.4 E Plus Diesel","Mumbai",2018,13000,"Diesel","Manual","First",22.1,1396,88.7,5,11.81,10.5,7,"Hyundai",1625,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,"Porsche Cayenne 2009-2014 Turbo","Mumbai",2008,73000,"Petrol","Automatic","First",8.5,4806,500,5,14.5,14.5,17,"Porsche",4056,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,"Mahindra XUV500 W8 4WD","Mumbai",2015,55729,"Diesel","Manual","First",15.1,2179,140,7,11.665,9.65,10,"Mahindra",5066,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,"Hyundai i10 Sportz 1.2 AT","Kochi",2012,45178,"Petrol","Automatic","First",16.95,1197,78.9,5,11.665,3.48,13,"Hyundai",3227,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,"Nissan Terrano XV D Pre","Kochi",2015,56066,"Diesel","Manual","First",19.64,1461,108.5,5,16.65,6.92,10,"Nissan",5097,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,"Honda Brio VX AT","Coimbatore",2016,37300,"Petrol","Automatic","Second",16.5,1198,86.8,5,11.665,6.46,9,"Honda",3730,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,"Audi A6 2.0 TDI Design Edition","Delhi",2014,56000,"Diesel","Automatic","Second",18.53,1968,187.74,5,29.5,29.5,11,"Audi",4667,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,"Toyota Innova 2.0 G1","Chennai",2006,230000,"Petrol","Manual","Third",12.4,1998,132,8,11.665,4.5,19,"Toyota",11500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
